TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	97/10/31
TIME	20:58:40
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	0.5
XUNITS	SEC
YUNITS	ABSORBANCE
FIRSTX	0.0000
LASTX	400.0000
NPOINTS	801
FIRSTY	0.00004
MAXY	0.49454
MINY	-0.00012
XYDATA
93.5000	0.03144
94.0000	0.03133
94.5000	0.03136
95.0000	0.03135
95.5000	0.03126
96.0000	0.0312
96.5000	0.03118
97.0000	0.03113
97.5000	0.03118
98.0000	0.03126
98.5000	0.03119
99.0000	0.03114
99.5000	0.03121
100.0000	0.03128
100.5000	0.03123
101.0000	0.03118
101.5000	0.03122
102.0000	0.03108
102.5000	0.031
103.0000	0.03113
103.5000	0.03125
104.0000	0.03118
104.5000	0.03114
105.0000	0.03118
105.5000	0.03115
106.0000	0.03114
106.5000	0.03106
107.0000	0.03104
107.5000	0.03109
108.0000	0.03109
108.5000	0.03107
109.0000	0.03108
109.5000	0.0311
110.0000	0.03113
110.5000	0.03112
111.0000	0.03115
111.5000	0.03122
112.0000	0.03116
112.5000	0.03113
113.0000	0.03109
113.5000	0.03107
114.0000	0.03097
114.5000	0.03098
115.0000	0.0311
115.5000	0.03112
116.0000	0.03102
116.5000	0.03094
117.0000	0.03102
117.5000	0.03109
118.0000	0.03103
118.5000	0.03102
119.0000	0.03109
119.5000	0.0311
120.0000	0.03106
120.5000	0.031
121.0000	0.03112
121.5000	0.03115
122.0000	0.03113
122.5000	0.03104
123.0000	0.03099
123.5000	0.03099
124.0000	0.03103
124.5000	0.03108
125.0000	0.03112
125.5000	0.03112
126.0000	0.03113
126.5000	0.03117
127.0000	0.03111
127.5000	0.03105
128.0000	0.03121
128.5000	0.03116
129.0000	0.03099
129.5000	0.03097
130.0000	0.03109
130.5000	0.0311
131.0000	0.03095
131.5000	0.03097
132.0000	0.03113
132.5000	0.03108
133.0000	0.03101
133.5000	0.0311
134.0000	0.03107
134.5000	0.03107
135.0000	0.03111
135.5000	0.03103
136.0000	0.03101
136.5000	0.031
137.0000	0.03094
137.5000	0.031
138.0000	0.03099
138.5000	0.03096
139.0000	0.03112
139.5000	0.03117
140.0000	0.03106
140.5000	0.03099
141.0000	0.03093
141.5000	0.03097
142.0000	0.03099
142.5000	0.031
143.0000	0.031
143.5000	0.03099
144.0000	0.03108
144.5000	0.03101
145.0000	0.03101
145.5000	0.03108
146.0000	0.0309
146.5000	0.03093
147.0000	0.03102
147.5000	0.03098
148.0000	0.03106
148.5000	0.03108
149.0000	0.03105
149.5000	0.03093
150.0000	0.031
