TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	97/10/31
TIME	21:23:29
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	0.5
XUNITS	SEC
YUNITS	ABSORBANCE
FIRSTX	0.0000
LASTX	400.0000
NPOINTS	801
FIRSTY	-0.00003
MAXY	0.64487
MINY	-0.00023
XYDATA
0.0000	-3E-05
0.5000	-8E-05
1.0000	-1.6E-04
1.5000	-2.3E-04
2.0000	-1.5E-04
2.5000	1E-05
3.0000	6E-05
3.5000	6E-05
4.0000	1E-05
4.5000	-2E-05
5.0000	-3E-05
5.5000	-9E-05
6.0000	-1.3E-04
6.5000	-2E-05
7.0000	3E-05
7.5000	-4E-05
8.0000	-6E-05
8.5000	-5E-05
9.0000	4E-05
9.5000	-1E-05
10.0000	-8E-05
10.5000	0.00237
11.0000	0.02581
11.5000	0.06791
12.0000	0.11398
12.5000	0.15628
13.0000	0.19188
13.5000	0.22653
14.0000	0.25853
14.5000	0.28618
15.0000	0.31336
15.5000	0.33839
16.0000	0.35964
16.5000	0.38051
17.0000	0.4001
17.5000	0.41689
18.0000	0.43311
18.5000	0.44863
19.0000	0.46176
19.5000	0.47424
20.0000	0.48609
20.5000	0.4978
21.0000	0.50797
21.5000	0.51678
22.0000	0.52552
22.5000	0.53387
23.0000	0.54075
23.5000	0.54766
24.0000	0.55448
24.5000	0.56059
25.0000	0.56657
25.5000	0.57181
26.0000	0.57676
26.5000	0.58147
27.0000	0.58567
27.5000	0.58972
28.0000	0.59352
28.5000	0.59717
29.0000	0.60072
29.5000	0.6037
30.0000	0.60663
30.5000	0.60992
31.0000	0.61295
31.5000	0.61515
32.0000	0.6177
32.5000	0.61981
33.0000	0.62164
33.5000	0.62374
34.0000	0.62547
34.5000	0.62736
35.0000	0.62941
35.5000	0.63128
36.0000	0.63274
36.5000	0.63427
37.0000	0.63584
37.5000	0.63687
38.0000	0.63824
38.5000	0.63953
39.0000	0.64048
39.5000	0.64185
40.0000	0.64352
40.5000	0.64487
41.0000	0.64042
41.5000	0.6241
42.0000	0.59869
42.5000	0.57337
43.0000	0.55048
43.5000	0.52754
44.0000	0.50568
44.5000	0.48576
45.0000	0.46577
45.5000	0.44812
46.0000	0.4302
46.5000	0.41319
47.0000	0.39808
47.5000	0.38276
48.0000	0.36793
48.5000	0.35486
49.0000	0.3419
49.5000	0.32945
50.0000	0.31824
50.5000	0.30681
51.0000	0.29599
51.5000	0.28634
52.0000	0.27662
52.5000	0.26744
53.0000	0.2593
53.5000	0.25098
54.0000	0.24361
54.5000	0.23616
55.0000	0.22899
55.5000	0.22256
56.0000	0.21603
56.5000	0.20994
57.0000	0.20445
57.5000	0.19887
58.0000	0.19357
58.5000	0.18891
59.0000	0.18421
59.5000	0.1798
60.0000	0.17575
60.5000	0.1716
61.0000	0.16784
61.5000	0.16444
62.0000	0.16097
62.5000	0.15779
63.0000	0.15451
63.5000	0.15159
64.0000	0.14907
64.5000	0.14634
65.0000	0.14372
65.5000	0.14143
66.0000	0.13919
66.5000	0.13709
67.0000	0.13502
67.5000	0.13291
68.0000	0.13112
68.5000	0.1295
69.0000	0.12781
69.5000	0.12616
70.0000	0.12468
70.5000	0.12319
71.0000	0.12185
71.5000	0.12065
72.0000	0.11943
72.5000	0.11824
73.0000	0.11714
73.5000	0.11613
74.0000	0.11516
74.5000	0.11431
75.0000	0.11339
75.5000	0.11253
76.0000	0.11179
76.5000	0.1109
77.0000	0.11014
77.5000	0.10946
78.0000	0.10876
78.5000	0.1081
79.0000	0.10746
79.5000	0.10703
80.0000	0.10649
80.5000	0.10584
81.0000	0.10544
81.5000	0.10501
82.0000	0.10453
82.5000	0.10422
83.0000	0.10385
83.5000	0.10341
84.0000	0.1031
84.5000	0.10274
85.0000	0.10235
85.5000	0.10208
86.0000	0.10178
86.5000	0.10151
87.0000	0.10139
87.5000	0.10109
88.0000	0.1007
88.5000	0.10049
89.0000	0.10038
89.5000	0.10019
90.0000	0.09999
90.5000	0.09984
91.0000	0.09966
91.5000	0.09942
92.0000	0.09931
