TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	97/10/31
TIME	21:43:24
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	0.5
XUNITS	SEC
YUNITS	ABSORBANCE
FIRSTX	0.0000
LASTX	400.0000
NPOINTS	801
FIRSTY	0.00018
MAXY	0.21720
MINY	-0.00004
XYDATA
93.0000	0.01745
93.5000	0.01738
94.0000	0.01724
94.5000	0.01714
95.0000	0.01715
95.5000	0.01715
96.0000	0.01716
96.5000	0.01715
97.0000	0.01706
97.5000	0.01693
98.0000	0.01688
98.5000	0.01687
99.0000	0.01686
99.5000	0.01686
100.0000	0.01686
100.5000	0.0169
101.0000	0.01686
101.5000	0.01679
102.0000	0.01673
102.5000	0.01664
103.0000	0.01663
103.5000	0.01665
104.0000	0.01667
104.5000	0.01667
105.0000	0.01657
105.5000	0.01654
106.0000	0.01651
106.5000	0.01654
107.0000	0.01659
107.5000	0.01657
108.0000	0.0166
108.5000	0.01662
109.0000	0.01653
109.5000	0.01651
110.0000	0.01652
110.5000	0.01654
111.0000	0.01652
111.5000	0.01645
112.0000	0.01649
112.5000	0.01651
113.0000	0.01644
113.5000	0.01636
114.0000	0.01646
114.5000	0.01649
115.0000	0.01642
115.5000	0.01656
116.0000	0.01659
116.5000	0.01652
117.0000	0.01651
117.5000	0.01651
118.0000	0.01654
118.5000	0.01647
119.0000	0.01642
119.5000	0.0164
120.0000	0.01645
120.5000	0.0165
121.0000	0.01646
121.5000	0.01638
122.0000	0.01637
122.5000	0.01637
123.0000	0.01632
123.5000	0.01634
124.0000	0.01634
124.5000	0.01632
125.0000	0.0164
125.5000	0.01639
126.0000	0.0163
126.5000	0.01633
127.0000	0.01641
127.5000	0.01645
128.0000	0.01643
128.5000	0.0164
129.0000	0.01657
129.5000	0.0167
130.0000	0.0168
130.5000	0.0168
131.0000	0.01674
131.5000	0.01677
132.0000	0.01675
132.5000	0.01669
133.0000	0.01671
133.5000	0.01677
134.0000	0.01674
134.5000	0.01674
135.0000	0.01671
135.5000	0.01676
136.0000	0.01671
136.5000	0.01671
137.0000	0.01679
137.5000	0.01678
138.0000	0.01674
138.5000	0.01679
139.0000	0.01676
139.5000	0.01679
140.0000	0.01682
140.5000	0.0168
141.0000	0.0168
141.5000	0.01675
142.0000	0.01671
142.5000	0.01677
143.0000	0.01675
143.5000	0.01668
144.0000	0.01663
144.5000	0.01675
145.0000	0.01687
145.5000	0.01682
146.0000	0.01675
146.5000	0.01662
147.0000	0.01669
147.5000	0.01677
148.0000	0.01683
148.5000	0.01676
149.0000	0.01667
