TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	97/10/31
TIME	22:23:47
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	0.5
XUNITS	SEC
YUNITS	ABSORBANCE
FIRSTX	0.0000
LASTX	400.0000
NPOINTS	801
FIRSTY	-0.00008
MAXY	0.62517
MINY	-0.00029
XYDATA
91.0000	0.09389
91.5000	0.09371
92.0000	0.09364
92.5000	0.09353
93.0000	0.09339
93.5000	0.0932
94.0000	0.093
94.5000	0.09289
95.0000	0.09285
95.5000	0.09291
96.0000	0.09271
96.5000	0.09254
97.0000	0.09243
97.5000	0.09242
98.0000	0.09243
98.5000	0.09222
99.0000	0.09213
99.5000	0.09209
100.0000	0.09194
100.5000	0.09185
101.0000	0.09194
101.5000	0.0919
102.0000	0.0917
102.5000	0.09176
103.0000	0.09178
103.5000	0.09165
104.0000	0.09162
104.5000	0.09158
105.0000	0.09152
105.5000	0.0915
106.0000	0.09148
106.5000	0.09141
107.0000	0.0913
107.5000	0.09131
108.0000	0.09127
108.5000	0.09125
109.0000	0.09126
109.5000	0.09118
110.0000	0.09114
110.5000	0.09115
111.0000	0.09124
111.5000	0.0912
112.0000	0.09118
112.5000	0.09125
113.0000	0.09114
113.5000	0.09101
114.0000	0.09102
114.5000	0.09112
115.0000	0.09111
115.5000	0.09105
116.0000	0.09105
116.5000	0.09102
117.0000	0.09085
117.5000	0.09086
118.0000	0.09089
118.5000	0.09083
119.0000	0.09088
119.5000	0.09081
120.0000	0.09085
120.5000	0.0909
121.0000	0.09076
121.5000	0.09084
122.0000	0.09091
122.5000	0.09089
123.0000	0.09088
123.5000	0.09098
124.0000	0.09094
124.5000	0.09078
125.0000	0.09083
125.5000	0.09073
126.0000	0.09065
126.5000	0.09079
127.0000	0.09085
127.5000	0.09077
128.0000	0.09071
128.5000	0.09071
129.0000	0.09079
129.5000	0.09086
130.0000	0.09078
130.5000	0.0907
131.0000	0.09072
131.5000	0.09072
132.0000	0.09071
132.5000	0.09074
133.0000	0.09078
133.5000	0.09077
134.0000	0.09083
134.5000	0.0909
135.0000	0.09087
135.5000	0.09081
136.0000	0.09086
136.5000	0.09084
137.0000	0.09078
137.5000	0.09076
138.0000	0.09064
138.5000	0.09062
139.0000	0.09083
139.5000	0.09076
140.0000	0.09064
140.5000	0.09072
141.0000	0.09063
141.5000	0.09054
142.0000	0.09058
142.5000	0.09064
143.0000	0.09071
143.5000	0.09064
144.0000	0.09072
144.5000	0.09083
145.0000	0.09077
145.5000	0.09075
146.0000	0.09072
146.5000	0.09061
147.0000	0.09058
